title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
[iSongs.info] 08 - Okkade Okkade,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_isongsinfo_08_okkade_okkade.mp3,romantic
Don't Marry,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_dont_marry.mp3,romantic
Aagaayam,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_aagaayam.mp3,romantic
Paruvame,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_paruvame.mp3,romantic
Naan Polladhavan,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_naan_polladhavan.mp3,romantic
Ele Ele Maradalaa Annamayya Song with English Subtitles I Telugu Movie Annamayya,SP Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_ele_ele_maradalaa_annamayya_song_with_english_subtitles_i_te.mp3,romantic
Samajavaragamana,Sid Sriram,,,Telugu,Telugu,,Ala Vaikunthapurramuloo,,219,songs/sid_sriram_samajavaragamana.mp3,romantic
Do The Dance,Sid Sriram,,,Telugu,Telugu,,Do The Dance,,242,songs/sid_sriram_do_the_dance.mp3,party
Maate Vinadhuga,Sid Sriram,,,Telugu,Telugu,,Taxiwaala,,272,songs/sid_sriram_maate_vinadhuga.mp3,romantic
The Hard Way,Sid Sriram,,,Telugu,Telugu,,The Hard Way,,212,songs/sid_sriram_the_hard_way.mp3,romantic
"Parayuvaan - From ""Ishq""",Sid Sriram,,,Telugu,Telugu,,,,277,songs/sid_sriram_parayuvaan_from_ishq.mp3,romantic
Undiporaadhey,Sid Sriram,,,Telugu,Telugu,,Hushaaru (Original Motion Picture Soundtrack),,173,songs/sid_sriram_undiporaadhey.mp3,romantic
"Nira - From ""Takkar""",Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_nira_from_takkar.mp3,romantic
Uyire,Sid Sriram,,,Telugu,Telugu,,Gauthamante Radham (Original Motion Picture Soundtrack),,199,songs/sid_sriram_uyire.mp3,romantic
Thaarame Thaarame,Sid Sriram,,,Telugu,Telugu,,,,228,songs/sid_sriram_thaarame_thaarame.mp3,romantic
"Kaadhal En Kaviye - From ""Salmon 3D""",Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_kaadhal_en_kaviye_from_salmon_3d.mp3,romantic
Vachindamma,Sid Sriram,,,Telugu,Telugu,,Geetha Govindam,,,songs/sid_sriram_vachindamma.mp3,romantic
Yaen Ennai Pirindhaai - Male,Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_yaen_ennai_pirindhaai_male.mp3,romantic
Adiga Adiga,Sid Sriram,,,Telugu,Telugu,,Ninnu Kori (Original Motion Picture Soundtrack),,209,songs/sid_sriram_adiga_adiga.mp3,romantic
Yaen Ennai Pirindhaai,Sid Sriram,,,Telugu,Telugu,,Adithya Varma,,198,songs/sid_sriram_yaen_ennai_pirindhaai.mp3,romantic
Anbae Peranbae,Sid Sriram,,,Telugu,Telugu,,,,269,songs/sid_sriram_anbae_peranbae.mp3,romantic
Maruvaarthai,Sid Sriram,,,Telugu,Telugu,,"Maruvaarthai (From ""Enai Noki Paayum Thota"") - Single",,356,songs/sid_sriram_maruvaarthai.mp3,romantic
